userid,month,revenue,subscription_plan,timestamp,Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
232,2023-02,0,Free,2023-02-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Morning,"Relaxation and stress relief, Sadness or melancholy",While Traveling,Playlists,4,Rarely,No preference / Not applicable,Interview,Well known individuals,Longer,Satisfied
233,2023-02,0,Free,2023-02-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy",While Traveling,Playlists,5,Once a week,Comedy,Story telling,Both,Both,Satisfied
234,2023-02,0,Free,2023-02-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,"Study Hours, While Traveling, leisure time","recommendations, Playlists",4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
235,2023-02,60000,Premium,2023-02-01,20-35,Female,Less than 6 months,Smartphone,Premium (paid subscription),No,Duo plan- Rs 149/month,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,5,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Dissatisfied
236,2023-02,0,Free,2023-02-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,classical,Night,Uplifting and motivational,"While Traveling, Workout session",recommendations,4,Several times a week,Comedy,Story telling,Both,Shorter,Satisfied
237,2023-02,0,Free,2023-02-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Several times a week,Health and Fitness,Story telling,Well known individuals,Shorter,Satisfied
238,2023-02,0,Free,2023-02-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Sadness or melancholy,leisure time,Playlists,2,Never,No preference / Not applicable,No preference / Not applicable,Well known individuals,Shorter,Satisfied
239,2023-02,0,Free,2023-02-01,20-35,Female,More than 2 years,"Smartphone, Wearable devices",Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,All,Night,Uplifting and motivational,leisure time,"recommendations, Playlists",5,Once a week,Dance and Relevant cases,Conversational,unknown Podcasters,Shorter,Satisfied
240,2023-02,0,Free,2023-02-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Afternoon,Relaxation and stress relief,Workout session,Playlists,5,Once a week,Comedy,Interview,Well known individuals,Shorter,Neutral
241,2023-02,0,Free,2023-02-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, Workout session",Others,5,Never,No preference / Not applicable,Conversational,Well known individuals,Shorter,Neutral
242,2023-02,0,Free,2023-02-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,4,Never,Comedy,Story telling,Well known individuals,Shorter,Neutral
243,2023-02,0,Free,2023-02-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
244,2023-02,60000,Premium,2023-02-01,20-35,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",5,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Neutral
245,2023-02,0,Free,2023-02-01,12-20,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,classical,Night,Social gatherings or parties,leisure time,Playlists,3,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Dissatisfied
246,2023-02,0,Free,2023-02-01,12-20,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,classical,Night,Social gatherings or parties,leisure time,"recommendations, Others",3,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Dissatisfied
247,2023-02,60000,Premium,2023-02-01,20-35,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,3,Rarely,Lifestyle and Health,Educational,Both,Shorter,Satisfied
248,2023-02,0,Free,2023-02-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Melody,Night,Relaxation and stress relief,Study Hours,Playlists,5,Rarely,Comedy,Story telling,Both,Both,Satisfied
249,2023-02,0,Free,2023-02-01,20-35,Male,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),No,Not interested,Music,Pop,Night,Relaxation and stress relief,"Office hours, Workout session",recommendations,5,Several times a week,Sports,No preference / Not applicable,Both,Both,Satisfied
250,2023-02,60000,Premium,2023-02-01,20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,Relaxation and stress relief,"Office hours, Study Hours, While Traveling","recommendations, Playlists, Others",3,Rarely,Technology,Educational,Both,Shorter,Neutral
251,2023-02,0,Free,2023-02-01,20-35,Female,Less than 6 months,Wearable devices,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Morning,Relaxation and stress relief,While Traveling,recommendations,3,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
252,2023-02,0,Free,2023-02-01,20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,Health and Fitness,Conversational,Well known individuals,Shorter,Satisfied
253,2023-02,0,Free,2023-02-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Podcast,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, leisure time","recommendations, Playlists, Others",3,Once a week,General knowledge,Story telling,Both,Both,Satisfied
254,2023-02,0,Free,2023-02-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time","Playlists, Radio",3,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Neutral
255,2023-02,0,Free,2023-02-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,All,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties",Random,"recommendations, Others",5,Rarely,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
256,2023-02,0,Free,2023-02-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Morning,"Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling, Workout session",recommendations,3,Never,No preference / Not applicable,Educational,Both,Shorter,Neutral
257,2023-02,0,Free,2023-02-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Morning,Relaxation and stress relief,Workout session,Playlists,4,Rarely,Health and Fitness,Educational,Well known individuals,Longer,Satisfied
258,2023-02,0,Free,2023-02-01,20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time","Playlists, Others",4,Rarely,No preference / Not applicable,Story telling,Both,Both,Neutral
259,2023-02,0,Free,2023-02-01,20-35,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Rap,Morning,Relaxation and stress relief,Office hours,recommendations,4,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
260,2023-02,0,Free,2023-02-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Pop,Morning,Relaxation and stress relief,While Traveling,Playlists,3,Rarely,Lifestyle and Health,Conversational,unknown Podcasters,Shorter,Neutral
261,2023-02,60000,Premium,2023-02-01,12-20,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, Study Hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Others",3,Once a week,Comedy,Conversational,Both,Both,Satisfied
262,2023-02,0,Free,2023-02-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time","recommendations, Playlists",2,Never,No preference / Not applicable,Story telling,No preference / Not applicable,Shorter,Dissatisfied
263,2023-02,0,Free,2023-02-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Electronic/Dance,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Daily,Sports,Conversational,Both,Both,Satisfied
264,2023-02,0,Free,2023-02-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Pop,Night,Relaxation and stress relief,leisure time,Playlists,5,Once a week,Lifestyle and Health,Interview,Both,Shorter,Dissatisfied
265,2023-02,0,Free,2023-02-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Kpop,Night,Uplifting and motivational,"Study Hours, Workout session, leisure time",Others,5,Rarely,Spiritual and devotional,Story telling,Both,Shorter,Satisfied
266,2023-02,0,Free,2023-02-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,"Study Hours, While Traveling",recommendations,5,Several times a week,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Both,Satisfied
267,2023-02,0,Free,2023-02-01,20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time",Others,3,Rarely,Comedy,Interview,Well known individuals,Both,Satisfied
268,2023-02,0,Free,2023-02-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Afternoon,Relaxation and stress relief,"While Traveling, Workout session, leisure time","recommendations, Playlists",3,Rarely,Comedy,Conversational,Both,Shorter,Satisfied
269,2023-02,0,Free,2023-02-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Morning,Relaxation and stress relief,While Traveling,recommendations,3,Rarely,Comedy,Conversational,Both,Shorter,Neutral
270,2023-02,0,Free,2023-02-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Afternoon,Social gatherings or parties,While Traveling,recommendations,4,Rarely,Comedy,Conversational,unknown Podcasters,Shorter,Satisfied
271,2023-02,0,Free,2023-02-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",Playlists,4,Several times a week,Comedy,Story telling,Both,Shorter,Neutral
272,2023-02,0,Free,2023-02-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Not interested,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time",Others,3,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
273,2023-02,0,Free,2023-02-01,20-35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,classical,Morning,Uplifting and motivational,Workout session,Playlists,1,Several times a week,Lifestyle and Health,Educational,Well known individuals,Both,Satisfied
274,2023-02,60000,Premium,2023-02-01,12-20,Female,6 months to 1 year,Computer or laptop,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Sadness or melancholy,While Traveling,Radio,3,Once a week,Sports,Story telling,unknown Podcasters,Both,Neutral
275,2023-02,0,Free,2023-02-01,20-35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Sadness or melancholy,While Traveling,Radio,3,Once a week,Sports,Interview,Well known individuals,Longer,Neutral
276,2023-02,0,Free,2023-02-01,12-20,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Sadness or melancholy,Study Hours,Radio,3,Once a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied
277,2023-02,0,Free,2023-02-01,20-35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,classical,Afternoon,Sadness or melancholy,While Traveling,Playlists,2,Several times a week,Health and Fitness,Interview,unknown Podcasters,Both,Neutral
